transaction_id,date,amount,category,merchant,payment_method,location,is_fraud
42,2023-01-10,6101.74,Transport,PickMe,Online Transfer,Galle,0
43,2023-01-10,1656.59,Health,Pharmacy,Online Transfer,Colombo,0
44,2023-01-11,6297.09,Bills,Internet,Cash,Colombo,0
45,2023-01-11,9743.76,Food,Keells,Online Transfer,Kandy,0
46,2023-01-11,6856.95,Bills,Mobile,Online Transfer,Kandy,0
47,2023-01-11,7943.24,Shopping,Supermarket,Card,Kandy,0
48,2023-01-11,5445.64,Shopping,Fashion Store,Online Transfer,Jaffna,0
49,2023-01-11,6477.5,Food,KFC,Online Transfer,Jaffna,0
50,2023-01-12,9585.67,Food,Restaurant,Online Transfer,Colombo,0
51,2023-01-12,4869.3,Shopping,Supermarket,Mobile Wallet,Jaffna,0
52,2023-01-12,3515.27,Education,Book Shop,Mobile Wallet,Jaffna,0
53,2023-01-12,2692.94,Health,Pharmacy,Mobile Wallet,Jaffna,0
54,2023-01-12,2937.7,Entertainment,Netflix,Mobile Wallet,Kurunegala,0
55,2023-01-12,3270.64,Education,University,Card,Galle,0
56,2023-01-12,9634.8,Bills,Mobile,Mobile Wallet,Kandy,0
57,2023-01-13,4700.78,Shopping,Supermarket,Online Transfer,Anuradhapura,0
58,2023-01-13,5262.92,Bills,Internet,Mobile Wallet,Kurunegala,0
59,2023-01-13,1842.82,Health,Hospital,Online Transfer,Anuradhapura,0
60,2023-01-14,2377.27,Entertainment,Netflix,Mobile Wallet,Kandy,0
61,2023-01-14,7694.43,Food,Restaurant,Mobile Wallet,Colombo,0
62,2023-01-14,5489.56,Bills,Water,Online Transfer,Kandy,0
63,2023-01-15,7516.23,Bills,Electricity,Online Transfer,Colombo,0
64,2023-01-15,3075.55,Health,Hospital,Mobile Wallet,Kandy,0
65,2023-01-15,5467.46,Bills,Mobile,Mobile Wallet,Colombo,0
66,2023-01-15,4351.88,Food,Keells,Cash,Kandy,0
67,2023-01-15,7574.8,Food,Restaurant,Card,Kandy,0
68,2023-01-15,6844.11,Food,KFC,Mobile Wallet,Jaffna,0
69,2023-01-16,3246.77,Education,Book Shop,Card,Colombo,0
70,2023-01-17,6583.0,Bills,Electricity,Card,Colombo,0
71,2023-01-17,5532.21,Transport,Fuel Station,Online Transfer,Kurunegala,0
72,2023-01-17,7271.25,Shopping,Electronics Store,Card,Jaffna,0
73,2023-01-17,7489.52,Bills,Electricity,Cash,Galle,0
74,2023-01-17,4678.99,Shopping,Fashion Store,Mobile Wallet,Kandy,0
75,2023-01-17,6598.19,Transport,Uber,Mobile Wallet,Galle,0
76,2023-01-18,2499.56,Health,Pharmacy,Cash,Galle,0
77,2023-01-18,4312.01,Transport,Fuel Station,Mobile Wallet,Galle,0
78,2023-01-19,9084.06,Food,KFC,Mobile Wallet,Jaffna,0
79,2023-01-19,7618.54,Bills,Mobile,Online Transfer,Colombo,0
80,2023-01-19,4974.87,Education,University,Cash,Jaffna,0
81,2023-01-20,4360.69,Entertainment,Netflix,Card,Galle,0
82,2023-01-20,8506.42,Food,Keells,Card,Jaffna,0
83,2023-01-20,7794.79,Shopping,Supermarket,Cash,Kurunegala,0
84,2023-01-20,4253.58,Shopping,Supermarket,Online Transfer,Kandy,0
85,2023-01-20,4816.65,Transport,Bus,Card,Jaffna,0
86,2023-01-20,2429.32,Entertainment,Netflix,Cash,Anuradhapura,0
87,2023-01-21,5730.68,Bills,Internet,Card,Kurunegala,0
88,2023-01-21,6560.41,Shopping,Electronics Store,Card,Colombo,0
89,2023-01-22,2858.38,Entertainment,Netflix,Card,Anuradhapura,0
90,2023-01-22,7748.8,Food,Pizza Hut,Mobile Wallet,Colombo,0
91,2023-01-22,6074.27,Food,Cargills,Cash,Jaffna,0
92,2023-01-23,4648.68,Shopping,Daraz,Online Transfer,Jaffna,1
93,2023-01-23,9119.76,Bills,Internet,Cash,Colombo,0
94,2023-01-23,6313.67,Bills,Water,Mobile Wallet,Galle,0
95,2023-01-23,5436.2,Food,KFC,Online Transfer,Jaffna,0
96,2023-01-24,2944.82,Transport,Uber,Online Transfer,Colombo,0
97,2023-01-24,5079.2,Bills,Electricity,Card,Colombo,0
98,2023-01-24,2308.73,Education,University,Mobile Wallet,Galle,0
99,2023-01-24,6556.13,Bills,Water,Mobile Wallet,Colombo,0
100,2023-01-24,4601.02,Transport,Fuel Station,Cash,Kandy,0
101,2023-01-25,5522.99,Shopping,Supermarket,Card,Kurunegala,0
102,2023-01-25,1892.02,Entertainment,Spotify,Mobile Wallet,Jaffna,0
103,2023-01-25,7790.63,Food,KFC,Online Transfer,Colombo,0
104,2023-01-25,4837.15,Shopping,Electronics Store,Cash,Kurunegala,0
105,2023-01-26,1802.94,Health,Hospital,Mobile Wallet,Jaffna,0
106,2023-01-26,5509.74,Bills,Electricity,Card,Jaffna,0
107,2023-01-26,5024.89,Shopping,Electronics Store,Online Transfer,Colombo,0
108,2023-01-27,3815.05,Transport,Bus,Online Transfer,Anuradhapura,0
109,2023-01-27,6653.24,Food,Restaurant,Cash,Anuradhapura,0
110,2023-01-27,7312.48,Food,Keells,Card,Kandy,0
111,2023-01-27,4696.94,Shopping,Fashion Store,Online Transfer,Kandy,0
112,2023-01-27,7222.16,Food,KFC,Mobile Wallet,Colombo,0
113,2023-01-27,5814.09,Food,KFC,Mobile Wallet,Galle,0
114,2023-01-27,1831.65,Entertainment,Netflix,Card,Kandy,0
115,2023-01-27,1313.73,Entertainment,Spotify,Mobile Wallet,Colombo,0
116,2023-01-28,3738.08,Shopping,Electronics Store,Cash,Jaffna,0
117,2023-01-28,8590.44,Bills,Internet,Cash,Kandy,0
118,2023-01-28,2736.22,Education,University,Cash,Jaffna,0
119,2023-01-29,3827.16,Transport,Train,Cash,Kurunegala,0
120,2023-01-29,5785.59,Food,Keells,Mobile Wallet,Kandy,0
121,2023-01-29,5903.19,Bills,Electricity,Online Transfer,Colombo,0
122,2023-01-29,2154.68,Health,Pharmacy,Mobile Wallet,Kurunegala,0
123,2023-01-29,4020.04,Transport,Fuel Station,Online Transfer,Kurunegala,0
124,2023-01-30,2181.6,Education,Book Shop,Mobile Wallet,Anuradhapura,0
125,2023-01-30,2507.5,Health,Pharmacy,Mobile Wallet,Galle,0
126,2023-01-30,3716.57,Education,Online Course,Card,Jaffna,0
127,2023-01-30,5946.56,Bills,Electricity,Mobile Wallet,Galle,0
128,2023-01-31,2329.15,Education,University,Mobile Wallet,Anuradhapura,0
129,2023-01-31,3396.03,Transport,Bus,Card,Kandy,0
130,2023-01-31,4276.52,Transport,Fuel Station,Cash,Anuradhapura,0
131,2023-01-31,3711.93,Transport,PickMe,Mobile Wallet,Galle,0
132,2023-01-31,3893.71,Shopping,Supermarket,Mobile Wallet,Jaffna,0
133,2023-02-01,4948.95,Food,Keells,Card,Jaffna,0
134,2023-02-02,6739.42,Food,Restaurant,Card,Colombo,0
135,2023-02-02,5132.94,Shopping,Fashion Store,Card,Kandy,0
136,2023-02-02,5213.33,Food,KFC,Cash,Jaffna,0
137,2023-02-03,9049.2,Bills,Water,Mobile Wallet,Colombo,0
138,2023-02-03,4902.83,Transport,Bus,Cash,Galle,0
139,2023-02-03,3296.25,Education,Book Shop,Mobile Wallet,Anuradhapura,0
140,2023-02-03,4929.69,Transport,Fuel Station,Mobile Wallet,Jaffna,0
141,2023-02-03,6683.63,Food,KFC,Card,Anuradhapura,0
142,2023-02-03,4371.14,Bills,Mobile,Mobile Wallet,Anuradhapura,0
143,2023-02-03,2326.42,Entertainment,Gaming,Card,Jaffna,0
144,2023-02-04,3537.09,Transport,Fuel Station,Card,Jaffna,0
145,2023-02-04,5151.8,Transport,Bus,Online Transfer,Kurunegala,0
146,2023-02-04,6979.1,Food,Pizza Hut,Card,Jaffna,0
147,2023-02-04,2967.27,Education,Book Shop,Card,Kurunegala,0
148,2023-02-04,5041.22,Transport,Bus,Cash,Galle,0
149,2023-02-04,2711.05,Entertainment,Gaming,Cash,Kurunegala,0
150,2023-02-04,2369.67,Health,Medical Centre,Mobile Wallet,Galle,0
151,2023-02-04,5148.89,Bills,Internet,Card,Kurunegala,0
152,2023-02-05,3243.9,Transport,Bus,Cash,Anuradhapura,0
153,2023-02-05,3288.17,Shopping,Electronics Store,Card,Kurunegala,0
154,2023-02-05,6812.97,Food,Pizza Hut,Mobile Wallet,Galle,0
155,2023-02-05,6669.58,Food,Cargills,Mobile Wallet,Kurunegala,0
156,2023-02-05,2555.21,Education,Book Shop,Card,Kurunegala,0
157,2023-02-05,2521.25,Education,University,Card,Jaffna,0
158,2023-02-05,5733.75,Shopping,Electronics Store,Mobile Wallet,Colombo,0
159,2023-02-05,6024.08,Bills,Electricity,Mobile Wallet,Jaffna,0
160,2023-02-05,3741.17,Bills,Internet,Cash,Jaffna,0
161,2023-02-05,4500.0,Bills,Internet,Online Transfer,Colombo,0
162,2023-02-06,3429.05,Bills,Mobile,Online Transfer,Colombo,0
163,2023-02-06,2048.32,Health,Pharmacy,Online Transfer,Kandy,0
164,2023-02-06,4083.89,Transport,Train,Cash,Galle,0
165,2023-02-06,7224.58,Bills,Water,Card,Colombo,0
166,2023-02-06,4576.97,Shopping,Daraz,Cash,Galle,0
167,2023-02-06,3436.51,Shopping,Supermarket,Cash,Anuradhapura,0
168,2023-02-06,3833.09,Bills,Mobile,Cash,Jaffna,0
169,2023-02-07,1960.86,Entertainment,Netflix,Online Transfer,Kandy,0
170,2023-02-07,2190.87,Health,Medical Centre,Card,Colombo,0
171,2023-02-08,6126.93,Food,KFC,Mobile Wallet,Kurunegala,0
172,2023-02-09,2032.61,Education,Online Course,Mobile Wallet,Kurunegala,0
173,2023-02-09,10545.97,Food,Restaurant,Online Transfer,Jaffna,0
174,2023-02-09,6653.71,Food,KFC,Card,Anuradhapura,0
175,2023-02-09,4792.8,Bills,Water,Card,Kandy,0
176,2023-02-10,3086.42,Transport,Fuel Station,Mobile Wallet,Anuradhapura,0
177,2023-02-10,4004.03,Transport,Fuel Station,Cash,Jaffna,0
178,2023-02-10,7009.63,Food,Restaurant,Cash,Colombo,0
179,2023-02-11,9614.26,Food,Pizza Hut,Online Transfer,Anuradhapura,0
180,2023-02-11,4219.03,Transport,Uber,Online Transfer,Colombo,0
181,2023-02-11,6014.08,Food,Keells,Card,Colombo,0
182,2023-02-11,6689.48,Food,Restaurant,Online Transfer,Jaffna,0
183,2023-02-12,5520.79,Transport,Bus,Mobile Wallet,Kandy,0
184,2023-02-12,1839.67,Education,Online Course,Cash,Kandy,0
185,2023-02-12,4159.54,Shopping,Fashion Store,Online Transfer,Galle,0
186,2023-02-12,5766.86,Shopping,Supermarket,Mobile Wallet,Kurunegala,0
187,2023-02-12,3000.0,Entertainment,Netflix,Card,Colombo,0
188,2023-02-13,7413.02,Food,Cargills,Card,Anuradhapura,0
189,2023-02-13,4146.67,Bills,Electricity,Online Transfer,Kurunegala,0
190,2023-02-13,5081.94,Bills,Internet,Card,Colombo,0
191,2023-02-13,6016.85,Transport,Uber,Online Transfer,Galle,0
192,2023-02-14,3509.74,Entertainment,Netflix,Card,Kandy,0
193,2023-02-14,5186.99,Shopping,Fashion Store,Mobile Wallet,Anuradhapura,0
194,2023-02-14,10140.81,Food,KFC,Cash,Colombo,0
195,2023-02-14,3040.72,Shopping,Fashion Store,Cash,Galle,0
196,2023-02-14,4304.58,Shopping,Electronics Store,Online Transfer,Colombo,0
197,2023-02-15,4897.8,Bills,Internet,Online Transfer,Kandy,0
198,2023-02-15,5492.04,Food,Pizza Hut,Mobile Wallet,Kurunegala,0
199,2023-02-15,3922.67,Shopping,Electronics Store,Online Transfer,Galle,0
200,2023-02-15,4145.98,Shopping,Electronics Store,Mobile Wallet,Galle,0
201,2023-02-15,3276.76,Shopping,Daraz,Mobile Wallet,Galle,0
202,2023-02-16,5641.96,Food,Cargills,Online Transfer,Colombo,0
203,2023-02-16,4560.66,Food,Keells,Cash,Kandy,0
204,2023-02-17,3984.99,Transport,Bus,Cash,Galle,0
205,2023-02-17,2480.39,Transport,PickMe,Mobile Wallet,Colombo,0
206,2023-02-17,6587.17,Food,Keells,Cash,Anuradhapura,0
207,2023-02-17,5562.71,Food,KFC,Online Transfer,Galle,0
208,2023-02-17,3699.01,Shopping,Electronics Store,Online Transfer,Colombo,0
209,2023-02-18,8689.3,Food,Restaurant,Cash,Anuradhapura,0
210,2023-02-18,5667.24,Food,Cargills,Mobile Wallet,Colombo,0
211,2023-02-18,4898.0,Bills,Water,Card,Colombo,0
212,2023-02-18,1611.59,Education,University,Online Transfer,Colombo,0
213,2023-02-18,5246.6,Food,Pizza Hut,Mobile Wallet,Kurunegala,0
214,2023-02-18,1651.48,Health,Medical Centre,Cash,Kurunegala,0
215,2023-02-18,3332.52,Transport,Fuel Station,Card,Jaffna,0
216,2023-02-19,7257.22,Bills,Electricity,Online Transfer,Colombo,0
217,2023-02-19,2758.8,Health,Hospital,Cash,Jaffna,0
218,2023-02-20,5518.39,Bills,Internet,Cash,Colombo,0
219,2023-02-20,5858.31,Food,KFC,Mobile Wallet,Kurunegala,0
220,2023-02-20,3830.18,Shopping,Electronics Store,Cash,Galle,0
221,2023-02-20,3887.46,Education,Book Shop,Online Transfer,Colombo,0
222,2023-02-20,1663.06,Entertainment,Cinema,Online Transfer,Anuradhapura,0
223,2023-02-20,3729.43,Bills,Internet,Cash,Anuradhapura,0
224,2023-02-21,2562.18,Shopping,Daraz,Online Transfer,Colombo,0
225,2023-02-21,3823.88,Transport,Fuel Station,Card,Kandy,0
226,2023-02-21,2258.22,Shopping,Daraz,Cash,Galle,0
227,2023-02-21,4437.93,Food,Pizza Hut,Card,Anuradhapura,0
228,2023-02-21,9415.59,Food,Keells,Online Transfer,Kandy,0
229,2023-02-21,1513.79,Entertainment,Cinema,Online Transfer,Jaffna,0
230,2023-02-22,3737.26,Food,Restaurant,Cash,Anuradhapura,0
231,2023-02-22,7989.32,Food,Cargills,Card,Kandy,0
232,2023-02-22,5293.85,Shopping,Supermarket,Card,Jaffna,0
233,2023-02-22,7497.71,Food,Keells,Card,Jaffna,0
234,2023-02-22,7388.0,Bills,Water,Cash,Galle,0
235,2023-02-23,2456.02,Shopping,Daraz,Cash,Colombo,0
236,2023-02-23,5174.83,Transport,Bus,Online Transfer,Galle,0
237,2023-02-23,6531.75,Bills,Mobile,Mobile Wallet,Galle,0
238,2023-02-23,3229.68,Bills,Mobile,Card,Kandy,0
239,2023-02-23,3533.0,Shopping,Daraz,Online Transfer,Kurunegala,0
240,2023-02-24,5447.45,Bills,Water,Online Transfer,Colombo,0
241,2023-02-24,2064.11,Entertainment,Cinema,Card,Anuradhapura,0
242,2023-02-24,6732.14,Bills,Electricity,Mobile Wallet,Kurunegala,0
243,2023-02-24,6215.46,Food,Restaurant,Mobile Wallet,Colombo,0
244,2023-02-25,4004.67,Transport,Uber,Mobile Wallet,Colombo,0
245,2023-02-25,2226.77,Health,Medical Centre,Card,Anuradhapura,0
246,2023-02-25,1701.5,Entertainment,Gaming,Card,Kurunegala,0
247,2023-02-25,8034.03,Food,Pizza Hut,Card,Galle,0
248,2023-02-25,6797.37,Transport,Bus,Card,Kandy,0
249,2023-02-26,3215.67,Education,University,Card,Anuradhapura,0
250,2023-02-26,1712.13,Health,Medical Centre,Online Transfer,Galle,0
251,2023-02-27,5739.22,Bills,Electricity,Cash,Anuradhapura,0
252,2023-02-27,5051.83,Food,Cargills,Card,Jaffna,0
253,2023-02-28,3716.53,Shopping,Supermarket,Mobile Wallet,Colombo,0
254,2023-02-28,5139.69,Bills,Water,Cash,Kandy,0
255,2023-02-28,6462.29,Food,KFC,Online Transfer,Jaffna,0
256,2023-02-28,4613.44,Bills,Internet,Cash,Anuradhapura,0
257,2023-02-28,7263.62,Food,Pizza Hut,Mobile Wallet,Anuradhapura,0
258,2023-03-01,5021.53,Shopping,Fashion Store,Online Transfer,Galle,0
259,2023-03-01,1936.53,Entertainment,Spotify,Mobile Wallet,Galle,0
260,2023-03-01,4260.08,Bills,Mobile,Card,Kandy,0
261,2023-03-01,5350.02,Transport,Uber,Cash,Kandy,0
262,2023-03-01,5620.99,Shopping,Supermarket,Card,Jaffna,0
263,2023-03-01,1809.33,Health,Pharmacy,Mobile Wallet,Colombo,0
264,2023-03-02,6888.03,Food,KFC,Online Transfer,Kandy,0
265,2023-03-02,2333.31,Education,Online Course,Mobile Wallet,Galle,0
266,2023-03-02,2490.81,Entertainment,Cinema,Mobile Wallet,Galle,0
267,2023-03-02,6981.79,Food,Pizza Hut,Cash,Galle,0
268,2023-03-03,6488.82,Food,Cargills,Online Transfer,Galle,0
269,2023-03-03,4310.12,Shopping,Supermarket,Mobile Wallet,Galle,0
270,2023-03-03,1531.29,Health,Hospital,Cash,Kandy,0
271,2023-03-03,3319.87,Bills,Water,Online Transfer,Kurunegala,0
272,2023-03-03,6882.25,Bills,Mobile,Card,Kurunegala,0
273,2023-03-04,5520.18,Bills,Internet,Online Transfer,Anuradhapura,0
274,2023-03-04,8733.44,Food,Cargills,Cash,Galle,0
275,2023-03-04,4921.21,Bills,Electricity,Cash,Anuradhapura,0
276,2023-03-04,9420.87,Food,Pizza Hut,Cash,Galle,0
277,2023-03-04,13022.65,Food,KFC,Online Transfer,Jaffna,0
278,2023-03-05,8319.77,Food,KFC,Mobile Wallet,Kurunegala,0
279,2023-03-05,10175.78,Food,KFC,Mobile Wallet,Kandy,0
280,2023-03-05,5524.19,Food,Cargills,Mobile Wallet,Jaffna,0
281,2023-03-05,4500.0,Bills,Internet,Online Transfer,Colombo,0
282,2023-03-05,3125.43,Entertainment,Netflix,Online Transfer,Jaffna,0
283,2023-03-05,5149.57,Food,Pizza Hut,Card,Galle,0
284,2023-03-06,2598.34,Shopping,Supermarket,Card,Galle,0
285,2023-03-06,7157.11,Bills,Water,Mobile Wallet,Kurunegala,0
286,2023-03-06,5337.16,Education,Book Shop,Online Transfer,Kurunegala,0
287,2023-03-07,5251.97,Food,Pizza Hut,Mobile Wallet,Kandy,0
288,2023-03-07,1472.05,Health,Medical Centre,Online Transfer,Jaffna,0
289,2023-03-07,4715.6,Food,Restaurant,Cash,Galle,0
290,2023-03-07,9323.2,Food,Cargills,Online Transfer,Kurunegala,0
291,2023-03-07,3780.21,Shopping,Electronics Store,Cash,Colombo,0
292,2023-03-08,3984.16,Education,Online Course,Online Transfer,Kurunegala,0
293,2023-03-08,2624.1,Transport,Train,Mobile Wallet,Kurunegala,0
294,2023-03-08,3197.4,Transport,Train,Online Transfer,Kurunegala,0
295,2023-03-09,4268.15,Shopping,Daraz,Cash,Colombo,0
296,2023-03-09,1750.76,Entertainment,Spotify,Online Transfer,Kurunegala,0
297,2023-03-09,2978.84,Shopping,Fashion Store,Online Transfer,Kurunegala,0
298,2023-03-09,4673.85,Transport,Train,Cash,Kandy,0
299,2023-03-09,4866.52,Food,Pizza Hut,Cash,Jaffna,0
300,2023-03-09,1993.02,Education,Online Course,Card,Kandy,0
301,2023-03-09,5710.23,Bills,Internet,Card,Anuradhapura,0
302,2023-03-09,1157.99,Health,Hospital,Online Transfer,Jaffna,0
303,2023-03-09,4007.83,Transport,PickMe,Card,Kurunegala,0
304,2023-03-11,3996.45,Shopping,Fashion Store,Online Transfer,Kurunegala,0
305,2023-03-11,2585.59,Education,University,Online Transfer,Anuradhapura,0
306,2023-03-11,1881.92,Education,Book Shop,Card,Kurunegala,0
307,2023-03-11,8829.68,Food,Keells,Cash,Colombo,0
308,2023-03-11,5091.11,Bills,Mobile,Online Transfer,Colombo,0
309,2023-03-11,1755.93,Health,Pharmacy,Online Transfer,Kandy,0
310,2023-03-11,3226.51,Transport,Train,Mobile Wallet,Anuradhapura,0
311,2023-03-11,2443.71,Entertainment,Gaming,Online Transfer,Kurunegala,0
312,2023-03-11,7022.3,Food,Pizza Hut,Online Transfer,Jaffna,0
313,2023-03-12,3000.0,Entertainment,Netflix,Card,Colombo,0
314,2023-03-12,4575.47,Bills,Water,Mobile Wallet,Anuradhapura,0
315,2023-03-13,1857.19,Health,Pharmacy,Mobile Wallet,Jaffna,0
316,2023-03-13,3685.96,Shopping,Daraz,Online Transfer,Kandy,0
317,2023-03-13,6416.41,Shopping,Daraz,Online Transfer,Jaffna,0
318,2023-03-14,2879.53,Education,Online Course,Card,Anuradhapura,0
319,2023-03-14,8035.07,Bills,Mobile,Online Transfer,Kurunegala,0
320,2023-03-14,8897.1,Food,Pizza Hut,Mobile Wallet,Galle,0
321,2023-03-14,7620.24,Bills,Internet,Card,Colombo,0
322,2023-03-14,2650.98,Education,University,Online Transfer,Kandy,0
323,2023-03-14,6870.91,Food,Pizza Hut,Cash,Anuradhapura,0
324,2023-03-15,4531.93,Transport,PickMe,Card,Kandy,0
325,2023-03-15,3284.65,Education,University,Online Transfer,Kurunegala,0
326,2023-03-15,2214.3,Education,Online Course,Card,Galle,0
327,2023-03-16,3293.35,Transport,PickMe,Online Transfer,Galle,0
328,2023-03-16,2839.44,Entertainment,Netflix,Card,Jaffna,0
329,2023-03-16,2254.71,Entertainment,Spotify,Card,Colombo,0
330,2023-03-16,7672.31,Bills,Water,Card,Colombo,0
331,2023-03-17,4382.49,Bills,Mobile,Card,Kandy,0
332,2023-03-17,5049.59,Transport,PickMe,Cash,Anuradhapura,0
333,2023-03-17,6020.27,Transport,PickMe,Online Transfer,Jaffna,0
334,2023-03-17,9754.8,Food,KFC,Cash,Colombo,0
335,2023-03-17,6512.5,Food,Restaurant,Mobile Wallet,Jaffna,0
336,2023-03-17,4907.51,Shopping,Electronics Store,Card,Kurunegala,0
337,2023-03-17,1891.57,Health,Pharmacy,Card,Kurunegala,0
338,2023-03-17,5652.0,Bills,Internet,Card,Colombo,0
339,2023-03-17,2145.93,Entertainment,Gaming,Mobile Wallet,Kurunegala,0
340,2023-03-18,5075.93,Transport,Fuel Station,Mobile Wallet,Kandy,0
341,2023-03-18,7270.16,Bills,Internet,Card,Kandy,0
342,2023-03-18,4071.5,Education,University,Online Transfer,Galle,0
343,2023-03-18,7365.17,Bills,Water,Online Transfer,Colombo,0
344,2023-03-19,1683.75,Health,Pharmacy,Mobile Wallet,Kurunegala,0
345,2023-03-19,6711.55,Bills,Electricity,Online Transfer,Colombo,0
346,2023-03-19,3108.42,Transport,Train,Card,Anuradhapura,0
347,2023-03-19,4620.04,Shopping,Electronics Store,Card,Kurunegala,0
348,2023-03-20,5463.54,Food,Keells,Cash,Galle,0
349,2023-03-20,8264.3,Food,Pizza Hut,Online Transfer,Jaffna,1
350,2023-03-20,3720.2,Shopping,Supermarket,Mobile Wallet,Kandy,0
351,2023-03-20,1996.23,Shopping,Supermarket,Mobile Wallet,Colombo,0
352,2023-03-20,1875.29,Health,Hospital,Cash,Kurunegala,0
353,2023-03-20,4653.28,Food,Restaurant,Cash,Kurunegala,0
354,2023-03-21,6811.5,Food,Cargills,Online Transfer,Kandy,0
355,2023-03-21,8333.66,Food,Cargills,Online Transfer,Kurunegala,0
356,2023-03-22,2374.51,Education,Book Shop,Online Transfer,Jaffna,0
357,2023-03-22,7507.97,Bills,Water,Card,Galle,0
358,2023-03-22,3946.3,Shopping,Electronics Store,Cash,Anuradhapura,0
359,2023-03-22,5688.77,Food,Cargills,Card,Colombo,0
360,2023-03-23,3093.05,Bills,Mobile,Cash,Galle,0
361,2023-03-23,10369.3,Food,Keells,Mobile Wallet,Kurunegala,0
362,2023-03-23,3519.83,Shopping,Daraz,Mobile Wallet,Anuradhapura,0
363,2023-03-24,2261.05,Education,Online Course,Online Transfer,Anuradhapura,0
364,2023-03-24,1038.21,Health,Medical Centre,Card,Jaffna,0
365,2023-03-24,1783.44,Entertainment,Cinema,Card,Galle,0
366,2023-03-24,4045.61,Bills,Mobile,Cash,Kurunegala,0
367,2023-03-24,4227.56,Shopping,Supermarket,Cash,Kurunegala,0
368,2023-03-24,2222.12,Education,Book Shop,Cash,Anuradhapura,0
369,2023-03-24,3323.55,Shopping,Electronics Store,Mobile Wallet,Kandy,0
370,2023-03-24,3784.15,Shopping,Daraz,Cash,Colombo,0
371,2023-03-24,4245.5,Bills,Water,Cash,Colombo,0
372,2023-03-24,5417.54,Bills,Electricity,Mobile Wallet,Galle,0
373,2023-03-25,9557.75,Food,Restaurant,Card,Kurunegala,0
374,2023-03-25,4299.84,Shopping,Daraz,Card,Kandy,0
375,2023-03-25,2901.04,Education,University,Card,Anuradhapura,0
376,2023-03-25,6629.95,Bills,Electricity,Card,Anuradhapura,0
377,2023-03-26,8405.8,Food,KFC,Cash,Kandy,0
378,2023-03-26,3369.71,Shopping,Electronics Store,Cash,Colombo,0
379,2023-03-26,2884.07,Transport,Train,Card,Anuradhapura,0
380,2023-03-27,4755.2,Transport,Train,Online Transfer,Galle,0
381,2023-03-27,5043.11,Food,Keells,Mobile Wallet,Jaffna,0
