transaction_id,amount,category,merchant,payment_method,location,is_fraud,year,month,day,is_weekend,category_avg_amount,merchant_frequency,payment_impact
77,16036,3,11,2,1,0,2026,5,28,0,22062.8625,166,1.5
78,13481,1,3,1,2,0,2026,6,8,0,10122.828092243186,182,1.2
79,6032,2,15,2,0,0,2026,4,16,0,4294.937037037037,159,1.5
80,15652,4,6,1,2,0,2026,3,21,0,32658.61914460285,120,1.2
81,11797,1,3,2,4,0,2026,1,26,0,10122.828092243186,182,1.5
82,5011,5,19,2,1,0,2026,1,8,0,4090.480412371134,120,1.5
83,2670,5,1,0,4,0,2026,5,13,0,4090.480412371134,122,1.0
84,3765,1,12,1,1,0,2026,1,29,0,10122.828092243186,155,1.2
85,2464,5,14,0,0,0,2026,3,28,0,4090.480412371134,121,1.0
86,6662,2,15,0,3,0,2026,3,16,0,4294.937037037037,159,1.0
87,4972,5,1,1,1,0,2026,6,12,0,4090.480412371134,122,1.2
88,7974,1,7,2,0,0,2026,3,28,0,10122.828092243186,140,1.5
89,11809,4,4,2,0,0,2026,2,23,0,32658.61914460285,128,1.5
90,1742,2,10,2,2,0,2026,1,20,0,4294.937037037037,116,1.5
91,9414,0,20,2,4,0,2026,2,5,1,13011.339658444023,173,1.5
92,3136,1,12,2,0,0,2026,4,27,0,10122.828092243186,155,1.5
93,1122,5,14,2,3,0,2026,5,1,0,4090.480412371134,121,1.5
94,9926,0,20,2,0,0,2026,6,8,0,13011.339658444023,173,1.5
95,9921,3,8,2,0,0,2026,2,24,0,22062.8625,142,1.5
96,5253,2,16,2,3,0,2026,5,22,0,4294.937037037037,140,1.5
97,3646,2,2,1,0,0,2026,5,29,0,4294.937037037037,125,1.2
98,841,5,1,0,1,0,2026,1,19,0,4090.480412371134,122,1.0
99,6686,4,6,2,1,0,2026,6,3,0,32658.61914460285,120,1.5
100,4541,0,5,0,3,0,2026,3,22,0,13011.339658444023,171,1.0
101,3080,5,1,2,3,0,2026,2,27,0,4090.480412371134,122,1.5
102,19094,4,17,2,3,0,2026,4,27,0,32658.61914460285,128,1.5
103,9925,1,3,0,3,0,2026,3,8,0,10122.828092243186,182,1.0
104,2161,5,14,1,1,0,2026,2,8,0,4090.480412371134,121,1.2
105,7227,5,1,2,3,0,2026,5,16,0,4090.480412371134,122,1.5
106,46864,4,6,2,3,0,2026,4,10,0,32658.61914460285,120,1.5
107,5669,4,6,1,1,0,2026,3,2,0,32658.61914460285,120,1.2
108,6231,2,16,1,2,0,2026,4,30,0,4294.937037037037,140,1.2
109,34597,4,4,1,4,0,2026,4,23,0,32658.61914460285,128,1.2
110,2066,5,19,0,3,0,2026,1,7,0,4090.480412371134,120,1.0
111,6277,1,12,2,3,1,2026,2,20,0,10122.828092243186,155,1.5
112,15259,0,5,0,2,0,2026,6,5,1,13011.339658444023,171,1.0
113,5448,1,3,2,3,0,2026,5,10,0,10122.828092243186,182,1.5
114,17270,4,4,0,3,0,2026,5,17,0,32658.61914460285,128,1.0
115,51156,4,4,0,4,0,2026,3,15,0,32658.61914460285,128,1.0
116,18681,0,20,0,4,0,2026,6,19,0,13011.339658444023,173,1.0
117,6307,2,2,1,4,0,2026,1,19,0,4294.937037037037,125,1.2
118,5532,2,16,2,1,0,2026,1,15,0,4294.937037037037,140,1.5
119,1797,2,10,0,4,0,2026,4,11,0,4294.937037037037,116,1.0
120,41258,4,17,2,0,0,2026,6,4,0,32658.61914460285,128,1.5
121,4700,2,16,1,2,0,2026,5,20,0,4294.937037037037,140,1.2
122,11034,3,8,0,0,0,2026,5,8,0,22062.8625,142,1.0
123,3950,5,19,1,3,0,2026,6,9,0,4090.480412371134,120,1.2
124,587,2,15,1,0,0,2026,1,2,0,4294.937037037037,159,1.2
125,2010,1,12,2,0,0,2026,1,19,0,10122.828092243186,155,1.5
126,2799,2,16,1,2,0,2026,4,26,0,4294.937037037037,140,1.2
127,6135,0,20,1,3,0,2026,6,6,1,13011.339658444023,173,1.2
128,5247,0,20,1,2,0,2026,1,26,0,13011.339658444023,173,1.2
129,58254,4,4,0,0,0,2026,5,26,0,32658.61914460285,128,1.0
130,6125,2,10,1,1,0,2026,3,24,0,4294.937037037037,116,1.2
131,4365,5,1,2,1,0,2026,1,6,1,4090.480412371134,122,1.5
132,20221,0,5,2,4,0,2026,3,31,0,13011.339658444023,171,1.5
133,10166,3,11,2,2,1,2026,3,1,0,22062.8625,166,1.5
134,5786,0,20,2,3,0,2026,4,23,0,13011.339658444023,173,1.5
135,3286,3,8,1,4,0,2026,3,24,0,22062.8625,142,1.2
136,3009,5,19,1,1,0,2026,6,4,0,4090.480412371134,120,1.2
137,8826,0,20,2,3,0,2026,3,26,0,13011.339658444023,173,1.5
138,31684,4,4,2,1,0,2026,3,14,0,32658.61914460285,128,1.5
139,1858,2,10,1,3,0,2026,3,17,0,4294.937037037037,116,1.2
140,58322,4,0,2,0,0,2026,6,11,0,32658.61914460285,115,1.5
141,26122,4,0,1,1,0,2026,4,14,0,32658.61914460285,115,1.2
142,6781,2,16,2,0,0,2026,1,12,0,4294.937037037037,140,1.5
143,4102,2,2,1,0,0,2026,5,21,0,4294.937037037037,125,1.2
144,9793,1,7,0,1,0,2026,4,26,0,10122.828092243186,140,1.0
145,17274,3,11,2,4,0,2026,6,13,0,22062.8625,166,1.5
146,7874,2,10,0,4,0,2026,4,13,0,4294.937037037037,116,1.0
147,2560,5,19,0,1,0,2026,3,23,0,4090.480412371134,120,1.0
148,5087,0,5,0,3,0,2026,5,13,0,13011.339658444023,171,1.0
149,18247,4,0,0,3,0,2026,6,7,0,32658.61914460285,115,1.0
150,15050,4,0,1,1,0,2026,4,16,0,32658.61914460285,115,1.2
151,7262,5,18,1,4,0,2026,6,13,0,4090.480412371134,122,1.2
152,15402,0,20,2,0,0,2026,4,9,0,13011.339658444023,173,1.5
153,15235,0,20,0,1,0,2026,4,19,0,13011.339658444023,173,1.0
154,11847,1,12,1,2,0,2026,1,27,0,10122.828092243186,155,1.2
155,35770,3,11,0,1,0,2026,5,16,0,22062.8625,166,1.0
156,5710,1,7,0,3,0,2026,2,1,0,10122.828092243186,140,1.0
157,7605,5,19,2,4,1,2026,4,8,0,4090.480412371134,120,1.5
158,7414,1,7,0,3,0,2026,3,23,0,10122.828092243186,140,1.0
159,3531,2,10,1,1,0,2026,5,2,0,4294.937037037037,116,1.2
160,12586,0,20,1,0,0,2026,3,6,1,13011.339658444023,173,1.2
161,20541,3,11,2,2,0,2026,6,18,0,22062.8625,166,1.5
162,7763,5,18,0,0,0,2026,3,19,0,4090.480412371134,122,1.0
163,13181,0,9,0,3,0,2026,2,17,0,13011.339658444023,183,1.0
164,3548,2,16,1,2,0,2026,1,17,0,4294.937037037037,140,1.2
165,42825,4,17,0,4,1,2026,5,1,0,32658.61914460285,128,1.0
166,12803,1,3,1,0,0,2026,2,1,0,10122.828092243186,182,1.2
167,11128,0,9,2,3,0,2026,4,21,0,13011.339658444023,183,1.5
168,13957,3,11,1,2,0,2026,4,6,1,22062.8625,166,1.2
169,5833,2,16,0,4,0,2026,3,6,1,4294.937037037037,140,1.0
170,10982,4,0,1,4,0,2026,4,8,0,32658.61914460285,115,1.2
171,15345,4,17,0,1,1,2026,1,12,0,32658.61914460285,128,1.0
172,33725,4,17,0,2,0,2026,3,19,0,32658.61914460285,128,1.0
173,29429,4,6,1,1,0,2026,3,30,0,32658.61914460285,120,1.2
174,31055,4,17,1,3,0,2026,1,3,0,32658.61914460285,128,1.2
175,21545,0,5,1,2,0,2026,2,20,0,13011.339658444023,171,1.2
176,17038,1,7,1,1,0,2026,3,9,0,10122.828092243186,140,1.2
177,32537,4,0,1,4,0,2026,1,15,0,32658.61914460285,115,1.2
178,1697,2,10,2,1,1,2026,1,7,0,4294.937037037037,116,1.5
179,5541,1,3,2,2,0,2026,2,18,0,10122.828092243186,182,1.5
180,21701,3,13,0,1,0,2026,4,4,0,22062.8625,172,1.0
181,30569,3,11,2,2,0,2026,1,12,0,22062.8625,166,1.5
182,22325,3,11,1,1,0,2026,6,23,0,22062.8625,166,1.2
183,12619,1,12,2,4,0,2026,1,26,0,10122.828092243186,155,1.5
184,12286,4,0,1,3,0,2026,2,23,0,32658.61914460285,115,1.2
185,5342,5,19,0,0,0,2026,2,3,0,4090.480412371134,120,1.0
186,1179,2,15,1,1,0,2026,2,2,0,4294.937037037037,159,1.2
187,3938,2,10,2,3,0,2026,4,29,0,4294.937037037037,116,1.5
188,5916,2,15,1,1,0,2026,2,24,0,4294.937037037037,159,1.2
189,16342,4,17,1,3,1,2026,4,14,0,32658.61914460285,128,1.2
190,2507,1,12,2,2,0,2026,3,4,0,10122.828092243186,155,1.5
191,16536,3,11,1,0,0,2026,6,1,0,22062.8625,166,1.2
192,10968,1,3,1,0,0,2026,3,28,0,10122.828092243186,182,1.2
193,3649,1,7,2,3,0,2026,4,5,1,10122.828092243186,140,1.5
194,10918,1,7,1,0,0,2026,2,25,0,10122.828092243186,140,1.2
195,30492,4,0,1,1,0,2026,2,17,0,32658.61914460285,115,1.2
196,4739,5,18,0,2,0,2026,5,31,0,4090.480412371134,122,1.0
197,10354,1,12,1,1,0,2026,3,20,0,10122.828092243186,155,1.2
198,29539,3,13,2,0,0,2026,4,3,0,22062.8625,172,1.5
199,2161,2,16,1,1,0,2026,2,19,0,4294.937037037037,140,1.2
200,2054,2,15,0,0,0,2026,1,31,0,4294.937037037037,159,1.0
201,15647,1,3,2,0,0,2026,2,5,1,10122.828092243186,182,1.5
202,16933,0,5,2,0,0,2026,3,25,0,13011.339658444023,171,1.5
203,6555,2,10,2,2,0,2026,3,27,0,4294.937037037037,116,1.5
204,1973,5,19,2,4,0,2026,2,20,0,4090.480412371134,120,1.5
205,16988,1,7,2,1,0,2026,2,17,0,10122.828092243186,140,1.5
206,38676,3,11,2,1,0,2026,6,9,0,22062.8625,166,1.5
207,1015,2,2,0,0,0,2026,2,20,0,4294.937037037037,125,1.0
208,5021,5,18,2,2,0,2026,2,23,0,4090.480412371134,122,1.5
209,11766,1,7,2,1,0,2026,4,25,0,10122.828092243186,140,1.5
210,3254,5,1,0,0,0,2026,5,8,0,4090.480412371134,122,1.0
211,4772,2,15,0,1,0,2026,2,19,0,4294.937037037037,159,1.0
212,15936,0,20,0,2,0,2026,2,5,1,13011.339658444023,173,1.0
213,14266,0,5,1,3,0,2026,6,26,0,13011.339658444023,171,1.2
214,5081,5,18,0,1,0,2026,3,8,0,4090.480412371134,122,1.0
215,4673,2,2,0,0,0,2026,2,5,1,4294.937037037037,125,1.0
216,5487,2,16,1,3,0,2026,5,5,1,4294.937037037037,140,1.2
217,28356,3,11,0,3,0,2026,5,22,0,22062.8625,166,1.0
218,1475,2,16,1,2,0,2026,5,13,0,4294.937037037037,140,1.2
219,1021,0,9,2,4,0,2026,1,3,0,13011.339658444023,183,1.5
220,10017,3,13,0,3,0,2026,1,6,1,22062.8625,172,1.0
221,14541,0,9,2,4,0,2026,2,27,0,13011.339658444023,183,1.5
222,8032,0,9,1,0,0,2026,3,19,0,13011.339658444023,183,1.2
223,7692,5,18,2,0,0,2026,5,3,0,4090.480412371134,122,1.5
224,36699,3,8,0,2,0,2026,6,9,0,22062.8625,142,1.0
225,2338,1,12,1,0,0,2026,2,28,0,10122.828092243186,155,1.2
226,2143,0,9,1,2,0,2026,6,25,0,13011.339658444023,183,1.2
227,23652,0,9,0,0,0,2026,4,29,0,13011.339658444023,183,1.0
228,46447,4,17,0,3,0,2026,2,26,0,32658.61914460285,128,1.0
229,4826,1,12,0,2,0,2026,2,12,0,10122.828092243186,155,1.0
230,5896,2,15,1,0,0,2026,5,2,0,4294.937037037037,159,1.2
231,17932,4,17,1,3,0,2026,1,25,0,32658.61914460285,128,1.2
232,17063,0,5,2,1,1,2026,6,13,0,13011.339658444023,171,1.5
233,5314,5,19,2,0,0,2026,6,7,0,4090.480412371134,120,1.5
234,6109,0,9,2,0,0,2026,1,21,0,13011.339658444023,183,1.5
235,5256,3,13,0,2,0,2026,4,26,0,22062.8625,172,1.0
236,1353,5,19,0,3,0,2026,3,30,0,4090.480412371134,120,1.0
237,5701,0,20,0,4,0,2026,2,21,0,13011.339658444023,173,1.0
238,55337,4,17,0,0,0,2026,5,30,0,32658.61914460285,128,1.0
239,11821,0,9,1,3,0,2026,6,16,0,13011.339658444023,183,1.2
240,6802,2,15,1,1,0,2026,5,31,0,4294.937037037037,159,1.2
241,6536,2,15,0,2,0,2026,5,9,0,4294.937037037037,159,1.0
242,10358,0,9,1,3,0,2026,6,27,0,13011.339658444023,183,1.2
243,6289,1,3,2,0,0,2026,1,27,0,10122.828092243186,182,1.5
244,7236,5,1,1,1,1,2026,6,13,0,4090.480412371134,122,1.2
245,49011,4,17,0,2,0,2026,1,16,0,32658.61914460285,128,1.0
246,1498,2,16,1,3,0,2026,6,8,0,4294.937037037037,140,1.2
247,52205,4,6,2,2,0,2026,1,25,0,32658.61914460285,120,1.5
248,18263,0,5,2,1,0,2026,5,25,0,13011.339658444023,171,1.5
249,16640,0,5,0,0,0,2026,3,7,0,13011.339658444023,171,1.0
250,37294,3,13,0,1,0,2026,5,7,0,22062.8625,172,1.0
251,6031,2,2,2,0,0,2026,6,25,0,4294.937037037037,125,1.5
252,5264,2,10,0,3,0,2026,2,8,0,4294.937037037037,116,1.0
253,5352,5,14,1,2,0,2026,2,9,0,4090.480412371134,121,1.2
254,5643,5,18,1,0,0,2026,5,24,0,4090.480412371134,122,1.2
255,7088,5,19,0,4,0,2026,4,4,0,4090.480412371134,120,1.0
256,7377,2,2,1,2,0,2026,1,3,0,4294.937037037037,125,1.2
257,1040,5,14,0,0,0,2026,2,11,0,4090.480412371134,121,1.0
258,52577,4,4,1,3,0,2026,5,22,0,32658.61914460285,128,1.2
259,56239,4,0,2,3,0,2026,3,30,0,32658.61914460285,115,1.5
260,22122,4,6,1,2,0,2026,3,5,1,32658.61914460285,120,1.2
261,14593,1,3,2,3,0,2026,4,28,0,10122.828092243186,182,1.5
262,908,5,19,1,3,0,2026,3,20,0,4090.480412371134,120,1.2
263,34331,3,13,0,3,1,2026,2,2,0,22062.8625,172,1.0
264,4372,2,16,0,1,0,2026,6,15,0,4294.937037037037,140,1.0
265,20974,0,20,1,2,0,2026,6,12,0,13011.339658444023,173,1.2
266,2453,2,16,0,4,0,2026,1,28,0,4294.937037037037,140,1.0
267,13662,1,7,2,3,0,2026,5,11,0,10122.828092243186,140,1.5
268,3614,1,3,1,2,0,2026,1,14,0,10122.828092243186,182,1.2
269,2036,2,15,0,4,0,2026,6,1,0,4294.937037037037,159,1.0
270,11004,0,9,0,2,0,2026,4,22,0,13011.339658444023,183,1.0
271,7922,5,14,0,0,0,2026,2,21,0,4090.480412371134,121,1.0
272,7066,5,1,1,3,0,2026,3,20,0,4090.480412371134,122,1.2
273,4684,5,1,1,1,0,2026,4,29,0,4090.480412371134,122,1.2
274,16397,0,20,0,0,0,2026,1,29,0,13011.339658444023,173,1.0
275,8759,1,12,2,0,0,2026,3,13,0,10122.828092243186,155,1.5
276,28125,3,11,2,3,0,2026,4,28,0,22062.8625,166,1.5
277,1046,1,12,0,1,0,2026,2,7,0,10122.828092243186,155,1.0
278,11004,1,3,1,0,0,2026,2,12,0,10122.828092243186,182,1.2
279,16477,1,7,0,4,0,2026,2,24,0,10122.828092243186,140,1.0
280,2200,2,2,2,4,0,2026,2,9,0,4294.937037037037,125,1.5
281,27885,4,6,2,3,0,2026,1,27,0,32658.61914460285,120,1.5
282,9964,4,17,1,4,0,2026,5,23,0,32658.61914460285,128,1.2
283,4963,2,15,2,4,0,2026,4,24,0,4294.937037037037,159,1.5
284,10905,3,13,0,1,0,2026,5,14,0,22062.8625,172,1.0
285,50763,4,17,1,0,0,2026,5,9,0,32658.61914460285,128,1.2
286,5252,5,18,0,4,0,2026,6,27,0,4090.480412371134,122,1.0
287,470,5,18,0,4,0,2026,3,21,0,4090.480412371134,122,1.0
288,28593,3,11,2,1,0,2026,3,24,0,22062.8625,166,1.5
289,4817,2,15,1,2,0,2026,6,24,0,4294.937037037037,159,1.2
290,4021,2,10,0,1,0,2026,4,28,0,4294.937037037037,116,1.0
291,24370,0,9,2,1,0,2026,3,24,0,13011.339658444023,183,1.5
292,20439,0,20,0,3,0,2026,1,12,0,13011.339658444023,173,1.0
293,16254,4,17,0,4,0,2026,4,7,0,32658.61914460285,128,1.0
294,6068,5,18,1,2,0,2026,5,8,0,4090.480412371134,122,1.2
295,5638,1,3,2,3,0,2026,4,30,0,10122.828092243186,182,1.5
296,13017,0,9,0,3,0,2026,6,19,0,13011.339658444023,183,1.0
297,18671,3,11,1,4,0,2026,1,28,0,22062.8625,166,1.2
298,5614,0,9,2,0,0,2026,3,28,0,13011.339658444023,183,1.5
299,18818,1,3,2,4,0,2026,4,11,0,10122.828092243186,182,1.5
300,3953,2,15,0,3,1,2026,4,24,0,4294.937037037037,159,1.0
301,49342,4,17,1,1,1,2026,5,11,0,32658.61914460285,128,1.2
302,19969,4,4,2,0,1,2026,1,31,0,32658.61914460285,128,1.5
303,3171,5,14,0,2,0,2026,3,7,0,4090.480412371134,121,1.0
304,13448,0,9,0,4,0,2026,1,30,0,13011.339658444023,183,1.0
305,4218,1,7,2,4,0,2026,4,27,0,10122.828092243186,140,1.5
306,20949,0,5,1,1,1,2026,1,28,0,13011.339658444023,171,1.2
307,2030,5,18,2,2,0,2026,6,15,0,4090.480412371134,122,1.5
308,35391,4,6,1,1,0,2026,2,3,0,32658.61914460285,120,1.2
309,5725,1,3,2,4,0,2026,6,14,0,10122.828092243186,182,1.5
310,6630,2,2,1,2,0,2026,3,22,0,4294.937037037037,125,1.2
311,19603,1,3,1,1,0,2026,2,14,0,10122.828092243186,182,1.2
312,6155,2,10,0,4,0,2026,3,21,0,4294.937037037037,116,1.0
313,2181,5,14,2,1,0,2026,4,27,0,4090.480412371134,121,1.5
314,9404,1,7,2,0,0,2026,5,29,0,10122.828092243186,140,1.5
315,2029,0,5,0,2,0,2026,5,24,0,13011.339658444023,171,1.0
316,51044,4,0,0,3,0,2026,6,29,0,32658.61914460285,115,1.0
317,6065,5,1,2,4,0,2026,3,30,0,4090.480412371134,122,1.5
318,15600,3,8,0,1,0,2026,5,13,0,22062.8625,142,1.0
319,2619,1,7,1,1,0,2026,5,12,0,10122.828092243186,140,1.2
320,1391,2,2,2,0,0,2026,4,23,0,4294.937037037037,125,1.5
321,662,5,1,0,1,0,2026,1,21,0,4090.480412371134,122,1.0
322,11815,0,5,1,4,0,2026,1,14,0,13011.339658444023,171,1.2
323,4325,5,1,0,0,0,2026,1,17,0,4090.480412371134,122,1.0
324,1446,2,2,1,1,0,2026,2,22,0,4294.937037037037,125,1.2
325,2554,0,20,2,1,0,2026,2,13,0,13011.339658444023,173,1.5
326,25965,3,13,2,3,0,2026,6,1,0,22062.8625,172,1.5
327,39731,4,17,1,4,0,2026,5,11,0,32658.61914460285,128,1.2
328,818,2,15,0,0,0,2026,1,28,0,4294.937037037037,159,1.0
329,5973,5,1,1,1,0,2026,1,20,0,4090.480412371134,122,1.2
330,4781,1,3,2,1,0,2026,6,4,0,10122.828092243186,182,1.5
331,30356,3,11,0,1,0,2026,3,13,0,22062.8625,166,1.0
332,12343,0,5,0,1,0,2026,3,15,0,13011.339658444023,171,1.0
333,16677,1,3,1,3,0,2026,5,29,0,10122.828092243186,182,1.2
334,2982,2,10,0,4,0,2026,3,30,0,4294.937037037037,116,1.0
335,25011,3,13,2,1,0,2026,5,18,0,22062.8625,172,1.5
336,5473,1,7,2,3,0,2026,3,5,1,10122.828092243186,140,1.5
337,3209,5,14,0,0,0,2026,3,10,0,4090.480412371134,121,1.0
338,8328,1,12,0,1,0,2026,5,26,0,10122.828092243186,155,1.0
339,5373,5,14,2,1,0,2026,1,8,0,4090.480412371134,121,1.5
340,11312,3,8,1,1,0,2026,3,2,0,22062.8625,142,1.2
341,25141,3,8,0,4,0,2026,5,10,0,22062.8625,142,1.0
342,2000,2,15,1,4,0,2026,3,7,0,4294.937037037037,159,1.2
343,28866,4,0,2,2,0,2026,5,16,0,32658.61914460285,115,1.5
344,8143,1,12,1,4,0,2026,4,16,0,10122.828092243186,155,1.2
345,36170,4,6,1,0,0,2026,2,10,0,32658.61914460285,120,1.2
346,21966,3,8,1,4,0,2026,4,12,0,22062.8625,142,1.2
347,3974,3,13,1,4,0,2026,2,7,0,22062.8625,172,1.2
348,17788,3,11,2,1,0,2026,1,28,0,22062.8625,166,1.5
349,1872,0,9,2,4,0,2026,1,14,0,13011.339658444023,183,1.5
350,10188,3,8,1,2,0,2026,1,27,0,22062.8625,142,1.2
351,3988,2,2,2,0,0,2026,3,5,1,4294.937037037037,125,1.5
352,32253,4,0,2,0,0,2026,3,19,0,32658.61914460285,115,1.5
353,2296,1,7,2,3,0,2026,5,11,0,10122.828092243186,140,1.5
354,4949,3,13,0,1,0,2026,2,24,0,22062.8625,172,1.0
355,5391,5,14,0,4,0,2026,5,1,0,4090.480412371134,121,1.0
356,2423,5,19,2,0,0,2026,2,25,0,4090.480412371134,120,1.5
357,2391,0,9,0,4,0,2026,3,15,0,13011.339658444023,183,1.0
358,17013,0,5,0,4,0,2026,4,19,0,13011.339658444023,171,1.0
359,24868,0,5,1,3,0,2026,5,16,0,13011.339658444023,171,1.2
360,1498,5,18,0,0,0,2026,1,15,0,4090.480412371134,122,1.0
361,7232,5,19,0,4,0,2026,1,15,0,4090.480412371134,120,1.0
362,42647,4,6,0,3,0,2026,3,28,0,32658.61914460285,120,1.0
363,21008,0,5,0,4,0,2026,6,4,0,13011.339658444023,171,1.0
364,7806,1,7,1,1,0,2026,2,5,1,10122.828092243186,140,1.2
365,15740,3,13,2,0,0,2026,6,25,0,22062.8625,172,1.5
366,16146,3,11,0,4,0,2026,2,22,0,22062.8625,166,1.0
367,7432,2,16,0,1,0,2026,2,4,0,4294.937037037037,140,1.0
368,6592,5,18,2,1,0,2026,5,7,0,4090.480412371134,122,1.5
