transaction_id,amount,category,merchant,payment_method,location,is_fraud,year,month,day,is_weekend,category_avg_amount,merchant_frequency,payment_impact,amount_difference
25,5161,2,10,2,4,0,2026,6,15,0,4237.168674698795,123,1.5,923.8313253012047
26,14808,4,4,1,2,0,2026,4,30,0,32625.434184675836,123,1.2,-17817.434184675836
27,56629,4,0,1,1,0,2026,5,25,0,32625.434184675836,130,1.2,24003.565815324164
28,1938,2,15,0,3,0,2026,1,16,0,4237.168674698795,117,1.0,-2299.1686746987953
29,19426,4,0,0,3,1,2026,4,2,0,32625.434184675836,130,1.0,-13199.434184675836
30,7008,5,19,2,3,0,2026,1,3,0,4002.865800865801,109,1.5,3005.134199134199
31,1302,2,2,2,3,0,2026,2,5,1,4237.168674698795,139,1.5,-2935.1686746987953
32,4934,1,7,2,3,0,2026,5,12,0,10593.915413533834,201,1.5,-5659.915413533834
33,23796,0,9,1,0,0,2026,5,29,0,12712.13627254509,150,1.2,11083.86372745491
34,3222,5,1,0,3,0,2026,4,21,0,4002.865800865801,121,1.0,-780.8658008658008
35,14075,4,0,1,3,0,2026,2,3,0,32625.434184675836,130,1.2,-18550.434184675836
36,7002,5,1,1,3,0,2026,1,9,0,4002.865800865801,121,1.2,2999.134199134199
37,39708,3,13,1,2,0,2026,3,18,0,20874.974,161,1.2,18833.026
38,20336,0,5,0,3,0,2026,6,11,0,12712.13627254509,188,1.0,7623.863727454909
39,8196,0,20,2,0,0,2026,1,1,0,12712.13627254509,161,1.5,-4516.136272545091
40,7909,0,20,2,1,0,2026,6,23,0,12712.13627254509,161,1.5,-4803.136272545091
41,33107,3,8,1,2,0,2026,2,23,0,20874.974,169,1.2,12232.026000000002
42,9272,3,11,1,0,0,2026,5,16,0,20874.974,170,1.2,-11602.973999999998
43,25591,4,0,2,3,0,2026,6,4,0,32625.434184675836,130,1.5,-7034.434184675836
44,8395,1,12,0,4,0,2026,6,20,0,10593.915413533834,169,1.0,-2198.915413533834
45,52008,4,0,2,0,1,2026,5,19,0,32625.434184675836,130,1.5,19382.565815324164
46,731,2,16,2,1,0,2026,1,8,0,4237.168674698795,119,1.5,-3506.1686746987953
47,13228,1,7,0,3,0,2026,2,28,0,10593.915413533834,201,1.0,2634.084586466166
48,21076,0,9,1,2,0,2026,5,2,0,12712.13627254509,150,1.2,8363.86372745491
49,3575,2,15,0,2,0,2026,3,2,0,4237.168674698795,117,1.0,-662.1686746987953
50,15102,0,9,2,4,0,2026,3,2,0,12712.13627254509,150,1.5,2389.863727454909
51,33386,3,8,2,2,0,2026,1,19,0,20874.974,169,1.5,12511.026000000002
52,18391,1,12,1,0,0,2026,5,14,0,10593.915413533834,169,1.2,7797.084586466166
53,8830,1,3,1,0,0,2026,1,10,0,10593.915413533834,162,1.2,-1763.915413533834
54,6729,2,16,0,2,0,2026,3,1,0,4237.168674698795,119,1.0,2491.8313253012047
55,56391,4,17,1,0,1,2026,4,16,0,32625.434184675836,136,1.2,23765.565815324164
56,9973,0,9,0,2,0,2026,6,7,0,12712.13627254509,150,1.0,-2739.136272545091
57,46051,4,6,0,1,1,2026,2,14,0,32625.434184675836,120,1.0,13425.565815324164
58,587,2,16,1,2,0,2026,1,7,0,4237.168674698795,119,1.2,-3650.1686746987953
59,5305,1,3,0,1,0,2026,5,8,0,10593.915413533834,162,1.0,-5288.915413533834
60,7904,2,2,0,4,0,2026,2,18,0,4237.168674698795,139,1.0,3666.8313253012047
61,27126,3,8,1,4,0,2026,6,28,0,20874.974,169,1.2,6251.026000000002
62,2887,2,16,1,0,0,2026,6,9,0,4237.168674698795,119,1.2,-1350.1686746987953
63,3555,2,2,0,4,0,2026,3,17,0,4237.168674698795,139,1.0,-682.1686746987953
64,48231,4,17,1,4,0,2026,4,16,0,32625.434184675836,136,1.2,15605.565815324164
65,7576,5,19,0,4,0,2026,3,10,0,4002.865800865801,109,1.0,3573.134199134199
66,1377,0,5,1,1,0,2026,3,5,1,12712.13627254509,188,1.2,-11335.13627254509
67,5379,4,17,0,3,0,2026,5,31,0,32625.434184675836,136,1.0,-27246.434184675836
68,12833,0,9,0,0,0,2026,1,25,0,12712.13627254509,150,1.0,120.86372745490917
69,11231,0,9,1,1,1,2026,1,27,0,12712.13627254509,150,1.2,-1481.1362725450908
70,6581,5,14,0,2,0,2026,2,20,0,4002.865800865801,128,1.0,2578.134199134199
71,9478,0,5,1,0,0,2026,6,7,0,12712.13627254509,188,1.2,-3234.136272545091
72,6159,2,2,0,1,0,2026,2,4,0,4237.168674698795,139,1.0,1921.8313253012047
73,6679,0,5,1,2,0,2026,5,9,0,12712.13627254509,188,1.2,-6033.136272545091
74,1714,5,14,1,2,0,2026,6,8,0,4002.865800865801,128,1.2,-2288.865800865801
75,19014,1,7,2,2,0,2026,4,3,0,10593.915413533834,201,1.5,8420.084586466166
76,17747,3,11,0,2,0,2026,1,6,1,20874.974,170,1.0,-3127.9739999999983
77,3872,3,13,2,4,0,2026,1,16,0,20874.974,161,1.5,-17002.974
78,5319,5,14,0,1,0,2026,1,22,0,4002.865800865801,128,1.0,1316.1341991341992
79,5729,3,11,2,1,1,2026,1,9,0,20874.974,170,1.5,-15145.973999999998
80,20770,0,20,2,1,0,2026,1,29,0,12712.13627254509,161,1.5,8057.863727454909
81,7053,2,10,1,0,0,2026,4,11,0,4237.168674698795,123,1.2,2815.8313253012047
82,2046,1,3,0,2,0,2026,6,22,0,10593.915413533834,162,1.0,-8547.915413533834
83,3105,5,18,1,2,0,2026,5,30,0,4002.865800865801,104,1.2,-897.8658008658008
84,8910,4,17,1,2,0,2026,4,2,0,32625.434184675836,136,1.2,-23715.434184675836
85,1256,5,18,2,4,0,2026,2,9,0,4002.865800865801,104,1.5,-2746.865800865801
86,20638,3,8,2,2,0,2026,6,7,0,20874.974,169,1.5,-236.97399999999834
87,39878,3,8,0,1,0,2026,1,31,0,20874.974,169,1.0,19003.026
88,22104,4,4,2,0,0,2026,3,9,0,32625.434184675836,123,1.5,-10521.434184675836
89,36262,3,11,1,0,0,2026,4,20,0,20874.974,170,1.2,15387.026000000002
90,1299,2,10,2,4,1,2026,2,10,0,4237.168674698795,123,1.5,-2938.1686746987953
91,3612,5,14,1,1,0,2026,6,8,0,4002.865800865801,128,1.2,-390.8658008658008
92,3650,2,16,2,3,0,2026,5,20,0,4237.168674698795,119,1.5,-587.1686746987953
93,2944,2,10,1,1,0,2026,6,10,0,4237.168674698795,123,1.2,-1293.1686746987953
94,3526,5,14,2,2,0,2026,2,23,0,4002.865800865801,128,1.5,-476.8658008658008
95,19263,4,0,2,4,0,2026,6,3,0,32625.434184675836,130,1.5,-13362.434184675836
96,7500,0,9,0,1,0,2026,4,2,0,12712.13627254509,150,1.0,-5212.136272545091
97,19555,1,7,1,3,0,2026,3,29,0,10593.915413533834,201,1.2,8961.084586466166
98,2644,2,16,0,4,0,2026,4,26,0,4237.168674698795,119,1.0,-1593.1686746987953
99,2267,0,5,0,3,0,2026,3,11,0,12712.13627254509,188,1.0,-10445.13627254509
100,19908,1,7,1,1,0,2026,5,19,0,10593.915413533834,201,1.2,9314.084586466166
101,29360,3,13,1,4,0,2026,3,23,0,20874.974,161,1.2,8485.026000000002
102,3759,2,16,0,3,0,2026,6,13,0,4237.168674698795,119,1.0,-478.16867469879526
103,3921,3,11,0,3,0,2026,3,28,0,20874.974,170,1.0,-16953.974
104,7556,2,15,0,4,0,2026,5,4,0,4237.168674698795,117,1.0,3318.8313253012047
105,8603,1,7,0,4,0,2026,3,22,0,10593.915413533834,201,1.0,-1990.915413533834
106,3970,2,15,1,0,0,2026,3,21,0,4237.168674698795,117,1.2,-267.16867469879526
107,7117,5,19,0,1,0,2026,5,21,0,4002.865800865801,109,1.0,3114.134199134199
108,1944,5,18,2,3,0,2026,6,10,0,4002.865800865801,104,1.5,-2058.865800865801
109,38834,3,8,1,0,0,2026,6,24,0,20874.974,169,1.2,17959.026
110,5745,0,20,0,1,0,2026,2,5,1,12712.13627254509,161,1.0,-6967.136272545091
111,28113,3,13,0,4,0,2026,2,24,0,20874.974,161,1.0,7238.026000000002
112,21243,3,8,0,2,0,2026,6,15,0,20874.974,169,1.0,368.02600000000166
113,7308,1,12,0,0,0,2026,4,21,0,10593.915413533834,169,1.0,-3285.915413533834
114,3454,2,16,2,3,0,2026,1,17,0,4237.168674698795,119,1.5,-783.1686746987953
115,20257,0,5,1,2,0,2026,6,3,0,12712.13627254509,188,1.2,7544.863727454909
116,46344,4,0,1,1,1,2026,6,8,0,32625.434184675836,130,1.2,13718.565815324164
117,2976,2,2,1,3,1,2026,2,25,0,4237.168674698795,139,1.2,-1261.1686746987953
118,5535,2,16,2,1,0,2026,4,21,0,4237.168674698795,119,1.5,1297.8313253012047
119,11800,4,6,2,3,0,2026,2,26,0,32625.434184675836,120,1.5,-20825.434184675836
120,20536,0,20,0,1,0,2026,6,24,0,12712.13627254509,161,1.0,7823.863727454909
121,11583,1,7,2,4,0,2026,4,4,0,10593.915413533834,201,1.5,989.084586466166
122,4406,5,18,2,3,0,2026,6,13,0,4002.865800865801,104,1.5,403.1341991341992
123,2917,0,5,1,3,0,2026,3,19,0,12712.13627254509,188,1.2,-9795.13627254509
124,7458,3,11,2,1,0,2026,3,28,0,20874.974,170,1.5,-13416.973999999998
125,2876,2,15,2,1,0,2026,5,8,0,4237.168674698795,117,1.5,-1361.1686746987953
126,6527,0,9,2,2,0,2026,3,24,0,12712.13627254509,150,1.5,-6185.136272545091
127,12218,0,5,2,0,0,2026,6,29,0,12712.13627254509,188,1.5,-494.13627254509083
128,11779,1,7,0,4,0,2026,5,8,0,10593.915413533834,201,1.0,1185.084586466166
129,5876,1,7,2,0,0,2026,5,10,0,10593.915413533834,201,1.5,-4717.915413533834
130,6941,0,20,1,0,1,2026,1,23,0,12712.13627254509,161,1.2,-5771.136272545091
131,34178,3,8,0,4,0,2026,5,30,0,20874.974,169,1.0,13303.026000000002
132,13803,3,8,2,2,0,2026,4,9,0,20874.974,169,1.5,-7071.973999999998
133,18629,4,17,1,2,0,2026,4,8,0,32625.434184675836,136,1.2,-13996.434184675836
134,24773,3,11,1,2,0,2026,6,20,0,20874.974,170,1.2,3898.0260000000017
135,48377,4,0,1,4,1,2026,2,9,0,32625.434184675836,130,1.2,15751.565815324164
136,14768,0,9,1,2,0,2026,6,12,0,12712.13627254509,150,1.2,2055.863727454909
137,18582,4,4,1,4,0,2026,5,28,0,32625.434184675836,123,1.2,-14043.434184675836
138,9491,0,20,1,4,0,2026,6,10,0,12712.13627254509,161,1.2,-3221.136272545091
139,3007,5,1,1,1,0,2026,4,4,0,4002.865800865801,121,1.2,-995.8658008658008
140,2981,5,19,0,2,0,2026,2,10,0,4002.865800865801,109,1.0,-1021.8658008658008
141,21246,4,4,1,0,0,2026,3,26,0,32625.434184675836,123,1.2,-11379.434184675836
142,2778,5,18,2,1,0,2026,4,20,0,4002.865800865801,104,1.5,-1224.8658008658008
143,5522,5,18,2,3,0,2026,2,22,0,4002.865800865801,104,1.5,1519.1341991341992
144,1555,5,1,1,2,0,2026,6,29,0,4002.865800865801,121,1.2,-2447.865800865801
145,32165,3,11,2,3,0,2026,5,16,0,20874.974,170,1.5,11290.026000000002
146,18235,1,12,1,0,0,2026,4,21,0,10593.915413533834,169,1.2,7641.084586466166
147,1722,0,5,1,3,0,2026,2,24,0,12712.13627254509,188,1.2,-10990.13627254509
148,4538,0,9,0,1,0,2026,3,5,1,12712.13627254509,150,1.0,-8174.136272545091
149,19497,1,7,0,4,0,2026,2,7,0,10593.915413533834,201,1.0,8903.084586466166
150,14786,3,8,0,2,0,2026,1,23,0,20874.974,169,1.0,-6088.973999999998
151,4597,3,13,1,1,0,2026,3,6,1,20874.974,161,1.2,-16277.973999999998
152,18306,0,5,1,3,0,2026,1,14,0,12712.13627254509,188,1.2,5593.863727454909
153,4249,5,19,1,0,0,2026,3,13,0,4002.865800865801,109,1.2,246.1341991341992
154,11273,4,0,1,3,0,2026,1,8,0,32625.434184675836,130,1.2,-21352.434184675836
155,50004,4,17,2,3,0,2026,4,18,0,32625.434184675836,136,1.5,17378.565815324164
156,6590,2,2,0,0,0,2026,1,20,0,4237.168674698795,139,1.0,2352.8313253012047
157,16508,4,0,0,4,0,2026,6,12,0,32625.434184675836,130,1.0,-16117.434184675836
158,1700,5,1,1,4,0,2026,4,28,0,4002.865800865801,121,1.2,-2302.865800865801
159,2107,2,10,0,2,0,2026,3,28,0,4237.168674698795,123,1.0,-2130.1686746987953
160,24615,0,9,1,4,0,2026,2,6,1,12712.13627254509,150,1.2,11902.86372745491
161,7173,3,13,0,4,0,2026,2,16,0,20874.974,161,1.0,-13701.973999999998
162,49878,4,4,2,0,1,2026,2,3,0,32625.434184675836,123,1.5,17252.565815324164
163,1191,2,16,2,0,0,2026,2,15,0,4237.168674698795,119,1.5,-3046.1686746987953
164,4915,0,5,1,2,0,2026,4,5,1,12712.13627254509,188,1.2,-7797.136272545091
165,6571,0,5,1,0,0,2026,1,21,0,12712.13627254509,188,1.2,-6141.136272545091
166,3615,3,8,2,3,0,2026,6,25,0,20874.974,169,1.5,-17259.974
167,1566,1,7,2,4,0,2026,4,18,0,10593.915413533834,201,1.5,-9027.915413533834
168,9566,3,11,0,1,0,2026,3,28,0,20874.974,170,1.0,-11308.973999999998
169,3618,2,15,1,4,0,2026,4,5,1,4237.168674698795,117,1.2,-619.1686746987953
170,9588,0,20,0,4,0,2026,1,4,0,12712.13627254509,161,1.0,-3124.136272545091
171,23582,3,13,1,0,0,2026,4,2,0,20874.974,161,1.2,2707.0260000000017
172,1852,2,10,2,4,0,2026,2,21,0,4237.168674698795,123,1.5,-2385.1686746987953
173,6404,0,5,2,4,0,2026,4,10,0,12712.13627254509,188,1.5,-6308.136272545091
174,6042,2,10,1,3,0,2026,2,12,0,4237.168674698795,123,1.2,1804.8313253012047
175,5254,2,15,2,0,0,2026,3,22,0,4237.168674698795,117,1.5,1016.8313253012047
176,17854,0,5,2,4,0,2026,3,16,0,12712.13627254509,188,1.5,5141.863727454909
177,6597,5,1,0,1,0,2026,1,27,0,4002.865800865801,121,1.0,2594.134199134199
178,9567,3,8,1,2,0,2026,1,3,0,20874.974,169,1.2,-11307.973999999998
179,14968,1,12,1,1,0,2026,5,12,0,10593.915413533834,169,1.2,4374.084586466166
180,36070,3,13,1,4,1,2026,5,10,0,20874.974,161,1.2,15195.026000000002
181,7380,1,12,1,1,0,2026,5,20,0,10593.915413533834,169,1.2,-3213.915413533834
182,8134,0,20,1,0,0,2026,6,14,0,12712.13627254509,161,1.2,-4578.136272545091
183,14296,1,7,1,4,0,2026,6,11,0,10593.915413533834,201,1.2,3702.084586466166
184,3163,5,18,1,0,0,2026,4,23,0,4002.865800865801,104,1.2,-839.8658008658008
185,7705,3,11,2,2,0,2026,5,25,0,20874.974,170,1.5,-13169.973999999998
186,42550,4,6,2,3,0,2026,1,7,0,32625.434184675836,120,1.5,9924.565815324164
187,3177,2,10,0,1,0,2026,5,11,0,4237.168674698795,123,1.0,-1060.1686746987953
188,33413,4,17,2,1,0,2026,3,8,0,32625.434184675836,136,1.5,787.5658153241639
189,6000,2,10,2,1,0,2026,6,16,0,4237.168674698795,123,1.5,1762.8313253012047
190,6797,5,14,0,3,0,2026,1,17,0,4002.865800865801,128,1.0,2794.134199134199
191,10040,4,4,2,1,0,2026,4,3,0,32625.434184675836,123,1.5,-22585.434184675836
192,24964,0,5,1,4,0,2026,6,21,0,12712.13627254509,188,1.2,12251.86372745491
193,37453,3,8,1,1,0,2026,4,1,0,20874.974,169,1.2,16578.026
194,9171,0,5,1,0,0,2026,4,24,0,12712.13627254509,188,1.2,-3541.136272545091
195,35501,3,8,0,1,0,2026,3,15,0,20874.974,169,1.0,14626.026000000002
196,16765,1,7,0,2,0,2026,1,11,0,10593.915413533834,201,1.0,6171.084586466166
197,7649,0,20,2,1,0,2026,1,12,0,12712.13627254509,161,1.5,-5063.136272545091
198,7385,0,20,2,4,1,2026,5,28,0,12712.13627254509,161,1.5,-5327.136272545091
199,5245,2,2,1,2,0,2026,2,25,0,4237.168674698795,139,1.2,1007.8313253012047
200,21967,3,8,2,3,0,2026,2,7,0,20874.974,169,1.5,1092.0260000000017
201,31786,3,11,0,1,0,2026,1,10,0,20874.974,170,1.0,10911.026000000002
202,54409,4,0,0,4,1,2026,4,5,1,32625.434184675836,130,1.0,21783.565815324164
203,9231,3,13,2,3,0,2026,3,18,0,20874.974,161,1.5,-11643.973999999998
204,6601,4,6,0,1,0,2026,6,13,0,32625.434184675836,120,1.0,-26024.434184675836
205,25413,4,17,1,4,0,2026,2,17,0,32625.434184675836,136,1.2,-7212.434184675836
206,6970,1,3,2,4,0,2026,1,14,0,10593.915413533834,162,1.5,-3623.915413533834
207,3862,1,7,1,4,0,2026,2,11,0,10593.915413533834,201,1.2,-6731.915413533834
208,6745,5,14,2,0,0,2026,1,3,0,4002.865800865801,128,1.5,2742.134199134199
209,17606,1,3,0,4,0,2026,6,20,0,10593.915413533834,162,1.0,7012.084586466166
210,7720,0,20,1,4,0,2026,1,2,0,12712.13627254509,161,1.2,-4992.136272545091
211,9572,3,11,2,4,0,2026,5,25,0,20874.974,170,1.5,-11302.973999999998
212,44846,4,6,2,2,1,2026,3,21,0,32625.434184675836,120,1.5,12220.565815324164
213,1739,1,7,0,4,0,2026,5,24,0,10593.915413533834,201,1.0,-8854.915413533834
214,10520,4,6,1,1,0,2026,6,20,0,32625.434184675836,120,1.2,-22105.434184675836
215,4997,5,1,2,3,1,2026,1,23,0,4002.865800865801,121,1.5,994.1341991341992
216,4825,2,2,0,0,0,2026,4,6,1,4237.168674698795,139,1.0,587.8313253012047
217,1103,5,19,2,3,0,2026,1,22,0,4002.865800865801,109,1.5,-2899.865800865801
218,231,5,18,2,2,0,2026,3,28,0,4002.865800865801,104,1.5,-3771.865800865801
219,21474,0,5,0,4,0,2026,2,19,0,12712.13627254509,188,1.0,8761.86372745491
220,10111,3,8,2,0,0,2026,2,27,0,20874.974,169,1.5,-10763.973999999998
221,3434,1,3,1,1,0,2026,5,26,0,10593.915413533834,162,1.2,-7159.915413533834
222,3713,5,19,1,4,0,2026,2,14,0,4002.865800865801,109,1.2,-289.8658008658008
223,18299,3,13,1,4,0,2026,5,31,0,20874.974,161,1.2,-2575.9739999999983
224,4777,1,3,1,1,0,2026,3,21,0,10593.915413533834,162,1.2,-5816.915413533834
225,7729,5,19,0,1,0,2026,6,12,0,4002.865800865801,109,1.0,3726.134199134199
226,1536,2,2,2,2,0,2026,4,14,0,4237.168674698795,139,1.5,-2701.1686746987953
227,3688,5,18,2,2,0,2026,5,29,0,4002.865800865801,104,1.5,-314.8658008658008
228,5847,5,1,0,1,0,2026,2,22,0,4002.865800865801,121,1.0,1844.1341991341992
229,4574,2,2,0,4,0,2026,1,1,0,4237.168674698795,139,1.0,336.83132530120474
230,5062,2,10,2,2,1,2026,4,18,0,4237.168674698795,123,1.5,824.8313253012047
231,6569,2,10,2,4,0,2026,4,26,0,4237.168674698795,123,1.5,2331.8313253012047
232,2630,1,3,0,1,0,2026,2,9,0,10593.915413533834,162,1.0,-7963.915413533834
233,2408,1,7,1,4,0,2026,4,6,1,10593.915413533834,201,1.2,-8185.915413533834
234,5665,5,1,1,4,0,2026,1,7,0,4002.865800865801,121,1.2,1662.1341991341992
235,6256,5,19,0,2,0,2026,6,26,0,4002.865800865801,109,1.0,2253.134199134199
236,551,5,14,1,0,0,2026,5,3,0,4002.865800865801,128,1.2,-3451.865800865801
237,1693,2,2,2,1,0,2026,5,19,0,4237.168674698795,139,1.5,-2544.1686746987953
238,6212,2,16,1,4,0,2026,3,24,0,4237.168674698795,119,1.2,1974.8313253012047
239,24013,0,20,1,4,0,2026,2,5,1,12712.13627254509,161,1.2,11300.86372745491
240,6950,4,0,2,4,0,2026,1,6,1,32625.434184675836,130,1.5,-25675.434184675836
241,12715,1,3,0,2,0,2026,4,16,0,10593.915413533834,162,1.0,2121.084586466166
242,20370,4,6,1,2,0,2026,2,28,0,32625.434184675836,120,1.2,-12255.434184675836
243,16039,1,7,2,4,0,2026,5,18,0,10593.915413533834,201,1.5,5445.084586466166
244,802,5,19,1,2,0,2026,4,5,1,4002.865800865801,109,1.2,-3200.865800865801
245,8046,3,8,2,3,0,2026,6,4,0,20874.974,169,1.5,-12828.973999999998
246,16728,0,5,2,0,1,2026,6,8,0,12712.13627254509,188,1.5,4015.863727454909
247,10682,0,5,0,0,0,2026,2,27,0,12712.13627254509,188,1.0,-2030.1362725450908
248,32244,4,17,1,0,0,2026,1,1,0,32625.434184675836,136,1.2,-381.43418467583615
249,2776,2,15,1,2,0,2026,6,11,0,4237.168674698795,117,1.2,-1461.1686746987953
250,19937,1,3,0,0,0,2026,3,9,0,10593.915413533834,162,1.0,9343.084586466166
251,21182,0,9,1,0,0,2026,3,19,0,12712.13627254509,150,1.2,8469.86372745491
252,50372,4,0,0,4,0,2026,1,29,0,32625.434184675836,130,1.0,17746.565815324164
253,4510,0,5,1,0,0,2026,4,7,0,12712.13627254509,188,1.2,-8202.13627254509
254,4017,1,12,2,3,0,2026,4,15,0,10593.915413533834,169,1.5,-6576.915413533834
255,761,5,1,0,1,0,2026,4,27,0,4002.865800865801,121,1.0,-3241.865800865801
256,3916,0,20,2,4,0,2026,2,5,1,12712.13627254509,161,1.5,-8796.13627254509
257,1079,2,2,1,0,0,2026,5,17,0,4237.168674698795,139,1.2,-3158.1686746987953
258,16616,4,17,0,4,0,2026,6,10,0,32625.434184675836,136,1.0,-16009.434184675836
259,10163,0,5,0,2,0,2026,3,10,0,12712.13627254509,188,1.0,-2549.136272545091
260,20559,0,5,2,2,0,2026,6,14,0,12712.13627254509,188,1.5,7846.863727454909
261,2517,2,10,1,0,0,2026,4,16,0,4237.168674698795,123,1.2,-1720.1686746987953
262,25906,4,0,0,2,1,2026,5,15,0,32625.434184675836,130,1.0,-6719.434184675836
263,2489,5,18,2,1,0,2026,2,7,0,4002.865800865801,104,1.5,-1513.8658008658008
264,6217,5,19,1,1,0,2026,1,2,0,4002.865800865801,109,1.2,2214.134199134199
265,4317,0,9,0,2,0,2026,1,16,0,12712.13627254509,150,1.0,-8395.13627254509
266,5754,3,11,1,0,0,2026,3,14,0,20874.974,170,1.2,-15120.973999999998
267,6632,5,1,2,4,0,2026,4,17,0,4002.865800865801,121,1.5,2629.134199134199
268,5454,2,15,2,3,0,2026,3,26,0,4237.168674698795,117,1.5,1216.8313253012047
269,38740,3,11,2,3,0,2026,3,17,0,20874.974,170,1.5,17865.026
270,38409,4,17,1,0,0,2026,5,5,1,32625.434184675836,136,1.2,5783.565815324164
271,20329,3,8,2,2,0,2026,3,13,0,20874.974,169,1.5,-545.9739999999983
272,6918,1,3,0,4,0,2026,5,29,0,10593.915413533834,162,1.0,-3675.915413533834
273,19729,3,13,2,3,0,2026,6,19,0,20874.974,161,1.5,-1145.9739999999983
274,14983,1,12,1,1,0,2026,2,14,0,10593.915413533834,169,1.2,4389.084586466166
275,3282,5,19,2,2,0,2026,4,11,0,4002.865800865801,109,1.5,-720.8658008658008
276,3507,5,18,1,0,0,2026,1,4,0,4002.865800865801,104,1.2,-495.8658008658008
277,24471,3,11,0,3,0,2026,6,3,0,20874.974,170,1.0,3596.0260000000017
278,5333,5,1,2,0,0,2026,4,4,0,4002.865800865801,121,1.5,1330.1341991341992
279,5860,5,18,0,0,0,2026,1,20,0,4002.865800865801,104,1.0,1857.1341991341992
280,2832,5,19,0,4,0,2026,6,16,0,4002.865800865801,109,1.0,-1170.8658008658008
281,3853,0,5,0,0,1,2026,2,6,1,12712.13627254509,188,1.0,-8859.13627254509
282,6346,2,2,2,1,0,2026,2,19,0,4237.168674698795,139,1.5,2108.8313253012047
283,5499,5,1,2,2,0,2026,5,12,0,4002.865800865801,121,1.5,1496.1341991341992
284,11385,3,11,2,4,1,2026,4,23,0,20874.974,170,1.5,-9489.973999999998
285,31448,3,13,1,4,0,2026,2,4,0,20874.974,161,1.2,10573.026000000002
286,4893,1,3,1,3,0,2026,3,2,0,10593.915413533834,162,1.2,-5700.915413533834
287,30975,4,0,1,0,0,2026,5,21,0,32625.434184675836,130,1.2,-1650.4341846758361
288,22853,3,8,1,4,0,2026,6,19,0,20874.974,169,1.2,1978.0260000000017
289,3737,5,19,2,3,0,2026,3,16,0,4002.865800865801,109,1.5,-265.8658008658008
290,9916,1,3,1,2,0,2026,5,6,1,10593.915413533834,162,1.2,-677.915413533834
291,59682,4,4,0,2,0,2026,2,24,0,32625.434184675836,123,1.0,27056.565815324164
292,1786,1,12,1,1,0,2026,5,26,0,10593.915413533834,169,1.2,-8807.915413533834
293,16396,3,8,0,0,0,2026,5,19,0,20874.974,169,1.0,-4478.973999999998
294,5782,5,14,1,2,0,2026,5,27,0,4002.865800865801,128,1.2,1779.1341991341992
295,20948,3,8,2,0,0,2026,6,10,0,20874.974,169,1.5,73.02600000000166
296,37654,3,8,1,0,0,2026,1,21,0,20874.974,169,1.2,16779.026
297,5418,0,5,2,4,0,2026,4,2,0,12712.13627254509,188,1.5,-7294.136272545091
298,26661,3,13,2,0,0,2026,5,23,0,20874.974,161,1.5,5786.026000000002
299,3666,1,12,2,0,0,2026,2,25,0,10593.915413533834,169,1.5,-6927.915413533834
300,17826,0,5,0,0,0,2026,1,2,0,12712.13627254509,188,1.0,5113.863727454909
